,Unnamed: 0,player_name,team_name,age,position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MoM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Was_dribble,Blocks,OwnGoal,key_pass_per_game,dribble_won_per_game,foul_given_game,offside_given_per_game,dispossessed_per_game,turnover_per_game,average_per_pass,corsses_per_game,longpass_per_game,through_ball_per_game,xG,xGDiff,xGPerNinety,totalShots,xGPerShot
80,80,David García,,30, D(C),31(1),2684,2,0,8,1,0.5,81.0,2.7,0,6.77,1.1,1.4,1.7,0.9,4.7,0.1,0.4,0,0.2,0.1,0.5,0,0.1,0.3,44.3,0,3.8,0,0.61,1.4,0.02,15,0.04
81,81,Robin Le Normand,,27, D(C),31(2),2795,0,0,6,0,0.4,88.2,3.3,1,6.76,1.1,1,1.3,0.9,2.8,0.4,0.4,1,0.1,0.1,0.9,0.1,0.3,0.2,52.5,0,3.2,0.1,0.85,-0.85,0.03,12,0.07
82,82,David López,,34," D(C),DMC",19(1),1658,3,1,5,0,0.6,90.1,1.5,2,6.75,1.6,0.7,0.8,0.4,3.2,0.4,1,0,0.4,0.3,0.8,0.2,0.1,0.4,59.9,0,3,0,1.74,1.26,0.09,11,0.16
83,83,Gonzalo Plata,,23," AM(R),FW",26(8),2310,1,5,1,0,1.1,78.1,0.5,2,6.75,1.9,0.4,0.6,0,0.2,1.4,0,0,1.1,1.9,1.2,0.1,1.1,2,20.4,0.2,0.2,0.1,4.39,-3.39,0.17,37,0.12
84,84,Diego Rico,,31," D(CL),M(L)",18(2),1647,0,0,3,0,0.5,79.2,1.0,1,6.75,1.8,1,1.4,0.3,2,0.8,0.3,0,0.5,0.7,1.3,0.1,0.5,1.2,37.3,0.7,2.1,0,0.17,-0.17,0.01,9,0.02
85,85,Dani Ceballos,,27, M(CL),19(11),1568,0,4,8,0,0.6,91.7,0.1,0,6.74,1.4,0.8,0.6,0,0.2,1.3,0.1,0,1,1.3,1.4,0,0.9,0.6,48.6,0.2,2.5,0.1,0.9,-0.9,0.05,18,0.05
86,86,Gerard Gumbau,,29, DMC,31(4),2745,1,6,11,0,1.3,81.7,0.6,2,6.74,1.3,0.8,1.5,0,1.1,0.9,0.2,0,2.1,0.2,0.6,0.1,0.3,0.8,36.3,2.1,3.3,0,2.06,-1.06,0.07,47,0.04
87,87,Alex Berenguer,,28," D(LR),M(CLR),FW",26(11),2304,4,1,2,0,1.5,74.8,0.9,2,6.74,1.6,0.3,1.3,0,0.1,1,0.1,0,1.4,1,0.7,0.5,1.1,1.7,20.7,1.2,0.6,0,4.98,-0.98,0.19,56,0.09
88,88,Copete,,24, D(C),27(1),2215,1,0,7,1,0.2,77.1,1.4,3,6.74,1.9,1.6,1.7,0.1,3.5,0.4,0.6,0,0.1,0.7,0.9,0.1,0.2,0.4,30.6,0.1,2.8,0,0.73,0.27,0.03,6,0.12
89,89,Omar Alderete,,27, D(C),23(2),2051,1,1,9,0,0.7,59.1,2.5,2,6.74,1.4,1,1.4,0.5,3.3,0.5,0.6,0,0.2,0.7,0.4,0,0.3,0.6,34,0,3.4,0,0.52,0.48,0.02,17,0.03
90,90,Arnau Martínez,,21, D(R),32(1),2737,3,4,11,0,0.6,82.4,1.1,2,6.74,2.1,0.8,1.1,0.3,1.4,1.4,0.3,0,1.2,0.7,2,0.2,0.5,1.1,38.1,0.6,1.4,0.1,1.49,1.51,0.05,20,0.07
91,91,Germán Pezzella,,32, D(C),29(2),2515,0,0,4,3,0.3,86.4,2.4,2,6.74,1.3,1.6,0.9,0.4,4.2,0.4,0.5,0,0.1,0.1,0.5,0,0,0.4,42,0,2.2,0,1.09,-1.09,0.04,10,0.11
92,92,Unai Núñez,,27, D(C),35(1),3151,0,0,8,0,0.4,86.4,2.0,1,6.74,1.3,2,0.7,0.6,3.7,0.4,0.5,1,0.1,0.3,0.9,0,0.1,0.5,55.9,0,3.6,0,0.81,-0.81,0.02,15,0.05
93,93,Edgar Badia,,32, GK,36,3240,0,0,2,0,0.0,69.5,0.3,2,6.73,0,0,0,0,1.1,0,0,0,0,0,0.2,0,0,0.1,25.1,0,6.6,0,,,,,
