player_name,team_name,Total_Passes,AccLB,InAccLB,AccSP,InAccSP
Wilfried Gnonto,Leeds,18.9,0.1,0.5,14.4,3.8
Orel Mangala,Nottingham Forest,18.7,0.5,0.6,14.7,3
Fraser Forster,Tottenham,20.8,3.3,6.5,10.7,0.3
Lyanco,Southampton,23.9,1.5,3.1,16.5,2.8
Davinson Sánchez,Tottenham,32.7,0.8,1.7,27.6,2.6
Kelechi Iheanacho,Leicester,10.9,0.3,0.3,8.1,2.2
Trevoh Chalobah,Chelsea,45.7,1.5,1.4,39,3.8
Diego Llorente,Leeds,53.4,2.9,4,41.6,4.9
Bobby De Cordova-Reid,Fulham,21.7,0.6,1.1,15.1,4.9
Romain Perraud,Southampton,22.8,0.4,1.9,16.6,3.8
Danny Ward,Leicester,30.2,4.6,8.6,16.7,0.3
Richarlison,Tottenham,9.7,0.4,0.3,6.7,2.4
Crysencio Summerville,Leeds,14,0.3,0.4,10.7,2.7
Ryan Yates,Nottingham Forest,22.2,1,1.2,16.4,3.7
Marc Albrighton,Leicester,18.7,0.3,1.2,12.5,4.7
Mario Lemina,Wolves,34.1,1.4,0.9,28.3,3.4
Moussa Djenepo,Southampton,12.9,0.4,0.9,9.6,2.1
Adam Lallana,Brighton,19.4,0.1,0.1,16,3.1
Aaron Hickey,Brentford,28,1,0.9,22.7,3.4
Hakim Ziyech,Chelsea,17.6,0.8,0.9,12.1,3.7
Patson Daka,Leicester,9.2,0.2,0.1,6,2.8
Jonny Otto,Wolves,38.4,1.5,0.8,30.8,5.3
Kevin Schade,Brentford,8.7,0,0.1,5.4,3.1
Conor Coady,Everton,50,4.4,5,38.1,2.5
Tino Livramento,Southampton,9.5,0,0.5,7,2
Josh Dasilva,Brentford,15.9,0.6,0.6,12.6,2.2
Joe Rothwell,Bournemouth,21.5,1,1.1,17.9,1.6
Daniel James,Leeds,8.5,0,0.3,5.8,2.5
Victor Kristiansen,Leicester,30.3,1.2,2.9,19.9,6.3
Ederson,Manchester City,31.7,5.2,4.7,21.5,0.3
Paul Onuachu,Southampton,8.3,0.4,0.1,4.6,3.2
Jacob Murphy,Newcastle,10.6,0.3,0.3,7.4,2.7
Eddie Nketiah,Arsenal,8.3,0.1,0.1,6.7,1.5
Gavin Bazunu,Southampton,32.1,7.3,14,10.6,0.2
Hugo Bueno,Wolves,24,0.3,0.9,20,2.8
Craig Dawson,West Ham,38.1,4.3,4.1,26.3,3.5
Emmanuel Dennis,Nottingham Forest,8.8,0.2,0.1,6.1,2.5
Harry Wilson,Fulham,13,0.8,0.2,9.7,2.3
Mads Roerslev,Brentford,13.2,0.6,1.2,8,3.5
James Garner,Everton,18.6,0.6,1,14.5,2.6
Odsonne Édouard,Crystal Palace,11.6,0,0.1,8.4,3.1
Luke Thomas,Leicester,31,1,1.6,23.4,5
Bryan Gil,Tottenham,14.3,0.5,0.5,11,2.3
Wayne Hennessey,Nottingham Forest,21,5.8,9,6.3,0
Albert Sambi Lokonga,Crystal Palace,28.8,1,1.4,24.2,2.1
Illan Meslier,Leeds,24.8,3.6,10.6,10.4,0.2
Robert Sánchez,Brighton,29.3,3.3,7,18.5,0.3
