player_name,team_name,Total_Passes,AccLB,InAccLB,AccSP,InAccSP
Josip Brekalo,Fiorentina,14.8,0.7,0.5,11.3,2.3
Grigoris Kastanos,Salernitana,19.4,0.8,0.8,14.3,3.5
Adam Masina,Udinese,27.8,2.9,3.1,19.1,2.7
Roberto Soriano,Bologna,21.8,0.7,0.5,17,3.6
Zeki Çelik,Roma,29.3,1.5,2.1,20.9,4.8
Federico Ceccherini,Verona,26.8,1.7,2.1,19.1,3.9
Pablo Galdames,Cremonese,21.3,1.6,1.3,13.9,4.5
Mërgim Vojvoda,Torino,32.5,1.6,1.3,24,5.6
Luca Caldirola,Monza,45.9,2.1,2.4,38.4,3
Marco Benassi,Fiorentina,46,9.5,1,32.5,3
Enzo Barrenechea,Juventus,38,1,1.3,31.3,4.3
Riccardo Saponara,Fiorentina,14.4,0.3,0.3,10.6,3.2
Marco Benassi,Cremonese,20.9,1,1.3,14.7,3.9
Emanuele Valeri,Cremonese,22.4,1.2,2.2,13.6,5.4
Igor Julio,Fiorentina,48.6,3.4,2.8,39.4,3
Oliver Abildgaard,Verona,14.5,0.6,1,8.1,4.8
Kingsley Ehizibue,Udinese,17,0.6,0.6,12.2,3.5
Tonny Vilhena,Salernitana,24.2,1,1.2,18.3,3.8
Ante Rebic,AC Milan,12.5,0.3,0.3,7.5,4.4
Bram Nuytinck,Udinese,21.5,2,1.7,15.8,2
Danilo D'Ambrosio,Inter,35.6,1.4,1.3,30.5,2.3
Sofyan Amrabat,Fiorentina,50.1,4.6,1.2,40.3,3.9
Harry Winks,Sampdoria,45.7,2.8,1.7,36.3,5
Kevin Bonifazi,Bologna,55.2,3.8,2.5,45.5,3.4
Rui Patrício,Roma,21.8,4.9,5.8,11,0.1
Alex Cordaz,Inter,17,2,7,6,2
Michele Castagnetti,Cremonese,28,1.4,1.3,21.1,4.2
Jayden Braaf,Verona,12,0.2,0.2,9.8,1.8
Kelvin Amian,Spezia,28.2,1.2,2.3,20,4.7
Joshua Zirkzee,Bologna,13.3,0.1,0.1,10.3,2.9
Milan Skriniar,Inter,65.1,3,2.1,56.7,3.3
Abdelhamid Sabiri,Sampdoria,22.3,1.4,0.9,15.2,4.9
Filip Djuricic,Sampdoria,22.1,0.8,0.5,16.8,3.9
Daniel Maldini,Spezia,9.2,0.2,0.4,6.6,2.1
Tommaso De Nipoti,Atalanta,5,1,0,2,2
Robin Gosens,Inter,16.5,0.5,0.9,12.8,2.3
William Troost-Ekong,Salernitana,19.8,1,1,15.3,2.4
Giacomo Raspadori,Napoli,16.8,0.8,0.6,12.8,2.6
Bartosz Bereszynski,Sampdoria,31.8,1.3,2.7,22.7,5.1
Sam Lammers,Sampdoria,13.1,0.2,0.1,8.8,4.1
Salvatore Esposito,Spezia,39.7,1.6,2.5,30.7,4.9
Liberato Cacace,Empoli,26.7,1,0.9,21.6,3.2
Assan Ceesay,Lecce,10.9,0.1,0.3,6.3,4.2
Davide Faraoni,Verona,18.3,1.5,2,10.8,4.1
Karol Linetty,Torino,29.4,1.1,0.7,24.6,3
Paul Pogba,Juventus,10.8,0.3,0.3,7.7,2.5
Marcos Antônio,Lazio,26.3,0.7,0.6,23.1,1.9
Petar Stojanovic,Empoli,30.3,2.4,1.6,22.1,4.2
Koray Günter,Sampdoria,39.9,1.7,2.2,31.2,4.8
Koni De Winter,Empoli,35.2,1.4,1.9,28.8,3.1
Tommaso Pobega,AC Milan,20.7,1.3,1.4,14.7,3.4
Yann Karamoh,Torino,9.5,0.2,0.2,7.3,1.8
Zlatan Ibrahimovic,AC Milan,12.8,0.5,0,8.5,3.8
Leandro Paredes,Juventus,28.9,2,0.8,24.4,1.7
Nedim Bajrami,Sassuolo,16.3,0.3,0.2,12.6,3.1
Filippo Ranocchia,Monza,17.1,1.4,1.1,12.5,2.1
Adrien Tameze,Verona,28.6,1.4,1.2,20.9,5.1
Sergiño Dest,AC Milan,18.9,0.6,1.1,15.3,1.9
Dylan Bronn,Salernitana,40.5,2.6,2.1,32.2,3.6
Jean-Victor Makengo,Udinese,19.4,0.4,0.3,16.1,2.7
Alfred Duncan,Fiorentina,20.2,1.1,1.1,15.2,2.8
Mattia De Sciglio,Juventus,26.8,1.5,1.4,20.4,3.5
Mattia Caldara,Spezia,29.4,1.5,2.8,21.2,4
Gary Medel,Bologna,37.8,2.3,1.8,31.7,2.1
Tomás Rincón,Sampdoria,35.8,2.5,1.9,27.1,4.2
Miguel Veloso,Verona,24,1.9,2.6,16.5,3.1
Fabio Miretti,Juventus,17.6,0.5,0.7,12.4,4
Luca Zanimacchia,Cremonese,17.5,0.4,0.6,12.7,3.8
Joan González,Lecce,21.1,0.7,0.8,15.9,3.6
Riccardo Sottil,Fiorentina,13,0.5,0.1,10.9,1.5
Domagoj Bradaric,Salernitana,28.1,1.1,1.8,21.1,4.2
Filippo Terracciano,Verona,13.7,0.7,1.2,9.3,2.6
Joaquín Correa,Inter,10.6,0.3,0,8.2,2
Thomas Henry,Verona,13.5,0.3,0.3,6.9,6
Antonín Barák,Fiorentina,23.2,1,0.6,18.4,3.3
Marko Pjaca,Empoli,12.9,0.5,0.1,10.2,2.1
Pedro Obiang,Sassuolo,25.6,1.9,1.5,19.5,2.7
Cyriel Dessers,Cremonese,10.3,0.2,0.2,6.5,3.4
Andrea Pinamonti,Sassuolo,15,0.2,0.2,9.9,4.8
Petar Zovko,Spezia,33,7,14,12,0
Charles De Ketelaere,AC Milan,11.4,0.2,0,8.8,2.3
Emil Bohinen,Salernitana,19.8,0.4,0.4,16.4,2.6
Brandon Soppy,Atalanta,15.7,0.3,0.7,11.7,2.9
Fabio Depaoli,Verona,14.4,0.9,1.5,8.2,3.8
Alex Ferrari,Sampdoria,37.5,2.5,2.4,29.4,3.2
Jeremy Toljan,Sassuolo,42.1,1.9,2,33.3,4.8
Federico Di Francesco,Lecce,12.6,0.3,0.6,8.8,2.9
Albin Ekdal,Spezia,25,0.6,1.2,18.8,4.4
Paolo Ghiglione,Cremonese,12.7,0.7,1.5,6.9,3.6
Lameck Banda,Lecce,10.3,0.1,0.2,7.4,2.6
Diego Coppola,Verona,26.7,1.6,2.5,18.1,4.5
Dimitrios Nikolaou,Spezia,43.6,2.8,4,33.1,3.7
David Zima,Torino,21.9,1.3,1.7,15.8,3.1
Hamed Traorè,Sassuolo,19.4,0.9,0.3,15.1,3.1
Roberto Piccoli,Empoli,7.3,0,0.2,4.7,2.4
Samuel Iling-Junior,Juventus,9.2,0.1,0.1,7.7,1.3
Martin Hongla,Verona,22.6,1.3,1.9,16.9,2.4
José Machín,Monza,26,0.9,0.8,21,3.3
Juan Cabal,Verona,18.9,1.2,1.6,13,3.1
Adam Ounas,Napoli,8,2,0,4.5,1.5
Cristian Buonaiuto,Cremonese,13,0.4,0.7,9.2,2.8
Gianluca Gaetano,Napoli,7.4,0.1,0,5.9,1.4
Mady Camara,Roma,21,0.8,1,15.9,3.3
Michaël Cuisance,Sampdoria,16.7,0.8,0.8,13.3,1.8
Rick Karsdorp,Roma,22.8,1.2,1.7,16.4,3.5
Jacopo Fazzini,Empoli,14.8,0.2,0.6,11.8,2.2
Samuel Ntanda,Sampdoria,1,0,0,1,0
Daniel Ciofani,Cremonese,6,0.2,0.1,3.6,2.2
Marvin Zeegelaar,Udinese,23.4,0.6,1,19,2.9
Marlon,Monza,36.3,1.3,0.8,32.2,2
Nedim Bajrami,Empoli,16.1,0.5,0.5,12.4,2.7
Adolfo Gaich,Verona,10.3,0,0.1,5.9,4.3
