player_name,team_name,age,position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MoM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Dribbles allowed,Blocks,OwnGoal,Key_pass_per_game,Dribble,Foul_given_game,Offside_given_per_game,Dispossessed_per_game,Unsuccessful touches,Average_per_pass,Crosses_per_game,Longpass_per_game,Through_ball_per_game,xG,xGDiff,xGPerNinety,totalShots,xGPerShot,position_1,position_2,position_3,position_4,position_5,position_6
Son Heung-Min,Tottenham,31,"CM, LM, RM, FW",33(3),2899,10,6,2,0,2.3,82.0,0.3,2,6.95,0.7,0.4,0.4,0.0,0.1,0.6,0.1,0,1.7,0.9,1.0,0.5,1.5,1.8,21.8,0.9,0.4,0.1,10.17,-0.17,0.32,81.0,0.13,CM, LM, RM, FW,,
N'Golo Kanté,Chelsea,33,CM,6(1),520,0,1,1,0,1.1,82.5,0.3,1,6.95,2.3,0.9,0.7,0.0,0.3,0.6,0.0,0,1.9,1.7,0.3,0.1,0.7,1.9,46.4,0.4,1.4,0.1,0.33,-0.33,0.06,8.0,0.04,CM,,,,,
Virgil van Dijk,Liverpool,32,CB,32,2836,3,1,3,0,0.9,90.5,3.1,2,6.94,0.8,1.0,0.4,0.7,4.2,0.3,0.5,0,0.2,0.1,0.1,0.1,0.0,0.2,80.7,0.0,4.7,0.0,3.15,-0.15,0.1,30.0,0.1,CB,,,,,
João Palhinha,Fulham,28,CDM,35,3113,3,0,14,0,1.1,83.0,2.1,2,6.93,4.2,1.3,1.4,0.0,1.7,1.8,0.1,1,0.2,0.4,1.4,0.0,0.8,1.1,36.2,0.0,2.5,0.0,3.15,-0.15,0.09,39.0,0.08,CDM,,,,,
Aaron Wan-Bissaka,Manchester United,26,"LB, RB, RM",16(3),1436,0,0,2,0,0.5,83.5,0.7,0,6.93,2.1,1.2,0.6,0.3,1.8,0.1,0.4,0,0.8,0.9,0.1,0.0,0.5,0.7,37.1,0.2,0.9,0.1,1.19,-1.19,0.07,10.0,0.12,LB, RB, RM,,,
Douglas Luiz,Aston Villa,25,CM,33(4),2933,6,6,6,1,0.9,86.4,0.7,3,6.93,1.9,1.1,1.3,0.0,0.6,0.9,0.2,0,1.2,0.6,1.1,0.1,0.9,1.0,45.9,0.6,2.2,0.1,3.03,2.97,0.09,34.0,0.09,CM,,,,,
Alisson Becker,Liverpool,31,GK,37,3330,0,1,1,0,0.0,83.4,0.3,2,6.92,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0,0.0,0.1,0.1,0.0,0.0,0.0,33.5,0.0,4.5,0.0,,,,,,GK,,,,,
Bernd Leno,Fulham,32,GK,36,3240,0,0,3,0,0.0,76.3,0.3,3,6.92,0.0,0.0,0.0,0.0,0.7,0.1,0.0,0,0.0,0.0,0.1,0.0,0.0,0.0,33.5,0.0,4.4,0.0,,,,,,GK,,,,,
Callum Wilson,Newcastle,32,FW,21(10),1887,18,5,4,0,2.4,67.7,0.6,4,6.92,0.3,0.0,0.7,0.0,0.2,0.1,0.0,0,0.7,0.4,1.0,0.5,1.2,2.3,7.6,0.0,0.1,0.0,17.78,0.22,0.85,73.0,0.24,FW,,,,,
Moisés Caicedo,Brighton,22,CDM,34(3),3141,1,1,10,0,0.8,88.8,1.0,0,6.92,2.7,1.5,1.8,0.0,0.7,0.8,0.2,0,1.2,0.8,1.5,0.0,0.6,1.1,59.7,0.2,2.4,0.1,1.5,-0.5,0.04,28.0,0.05,CDM,,,,,
Miguel Almirón,Newcastle,30,"CAM, LAM, RAM, FW",29(5),2508,11,2,2,0,2.0,84.5,0.2,2,6.91,1.4,0.3,0.6,0.0,0.4,0.7,0.1,0,0.8,1.0,1.0,0.3,0.8,1.5,27.4,0.1,0.4,0.0,8.27,2.73,0.3,69.0,0.12,CAM, LAM, RAM, FW,,
Benoît Badiashile,Chelsea,23,CB,10(1),904,1,0,2,0,0.5,89.7,3.2,0,6.91,1.3,1.5,0.8,0.2,3.0,0.5,0.2,0,0.3,0.1,0.5,0.0,0.3,0.2,77.7,0.0,3.5,0.0,1.25,-0.25,0.12,6.0,0.21,CB,,,,,
Wesley Fofana,Leicester,23,CB,2,180,0,0,1,0,1.0,84.2,2.5,0,6.9,2.0,4.5,1.0,0.0,2.0,1.0,0.5,0,0.0,1.0,1.5,0.5,0.0,1.5,69.5,0.0,1.0,0.0,0.37,-0.37,0.19,2.0,0.19,CB,,,,,
