Player_name,Team_name,Age,Positions,Apps,Mins,Goals,Assists,Yel,Red,Shoots_pg,Pass_success(%),AerialsWon,MotM,Rating,Tackles,Interceptions,Fouls,Offsides,Clear,Dribbled_past_pg,Blocks,OwnG,Shots_pg,KeyPasses_pg,Dribbles_pg,Fouled,Offsides_pg,Dispossessed_pg,Bad_Controls_pg,Passes_pg,Crosses_pg,Long_pass_pg,Through_pass_pg,xG,Goals-xG,xG_per_90m,Total_shots,xG_per_total_shots
Emirhan Ilkhan,Sampdoria,19,AM(C),0(8),102,0,0,0,0,0.1,88.1,0.3,0,6.14,0.3,0.5,1.3,0,0.5,0,0.3,0,0.5,0.3,0.3,0,0,0.5,0.5,10.8,0,1.3,0,,,,,
Emirhan Ilkhan,Sampdoria,19,AM(C),0(8),102,0,0,0,0,0.1,88.1,0.3,0,6.14,0.3,0.5,1.3,0,0.5,0,0.3,0,0.5,0.3,0.3,0,0,0.5,0.5,7.4,0.1,0.5,0,,,,,
Emirhan Ilkhan,Sampdoria,19,AM(C),0(8),102,0,0,0,0,0.1,88.1,0.3,0,6.14,0.3,0.5,1.3,0,0.5,0,0.3,0,0.1,0.1,0.1,0.3,0,0,0.6,10.8,0,1.3,0,,,,,
Emirhan Ilkhan,Sampdoria,19,AM(C),0(8),102,0,0,0,0,0.1,88.1,0.3,0,6.14,0.3,0.5,1.3,0,0.5,0,0.3,0,0.1,0.1,0.1,0.3,0,0,0.6,7.4,0.1,0.5,0,,,,,
Emirhan Ilkhan,Sampdoria,19,AM(C),0(8),102,0,0,0,0,0.1,88.1,0.3,0,6.14,0.8,0,0,0,0.4,0.1,0.1,0,0.5,0.3,0.3,0,0,0.5,0.5,10.8,0,1.3,0,,,,,
Emirhan Ilkhan,Sampdoria,19,AM(C),0(8),102,0,0,0,0,0.1,88.1,0.3,0,6.14,0.8,0,0,0,0.4,0.1,0.1,0,0.5,0.3,0.3,0,0,0.5,0.5,7.4,0.1,0.5,0,,,,,
Emirhan Ilkhan,Sampdoria,19,AM(C),0(8),102,0,0,0,0,0.1,88.1,0.3,0,6.14,0.8,0,0,0,0.4,0.1,0.1,0,0.1,0.1,0.1,0.3,0,0,0.6,10.8,0,1.3,0,,,,,
Emirhan Ilkhan,Sampdoria,19,AM(C),0(8),102,0,0,0,0,0.1,88.1,0.3,0,6.14,0.8,0,0,0,0.4,0.1,0.1,0,0.1,0.1,0.1,0.3,0,0,0.6,7.4,0.1,0.5,0,,,,,
Youssef Maleh,Lecce,25,M(C),7(10),672,0,1,3,0,0.4,72.4,0.5,0,6.18,1,0.3,1.3,0,0.5,0.5,0.1,0,0.4,0.4,0.1,0.6,0.2,0.6,0.5,11.5,0.1,0.3,0,,,,,
Youssef Maleh,Lecce,25,M(C),7(10),672,0,1,3,0,0.4,72.4,0.5,0,6.18,1,0.3,1.3,0,0.5,0.5,0.1,0,1,0.9,0.1,0.4,0,0.9,0.9,11.5,0.1,0.3,0,,,,,
Youssef Maleh,Lecce,25,M(C),7(10),672,0,1,3,0,0.4,72.4,0.5,0,6.18,0.4,0.1,1.1,0,0.3,0.6,0,0,0.4,0.4,0.1,0.6,0.2,0.6,0.5,11.5,0.1,0.3,0,,,,,
Youssef Maleh,Lecce,25,M(C),7(10),672,0,1,3,0,0.4,72.4,0.5,0,6.18,0.4,0.1,1.1,0,0.3,0.6,0,0,1,0.9,0.1,0.4,0,0.9,0.9,11.5,0.1,0.3,0,,,,,
Youssef Maleh,Fiorentina,25,M(C),4(3),299,0,0,2,0,1,86,0.4,0,6.13,1,0.3,1.3,0,0.5,0.5,0.1,0,0.4,0.4,0.1,0.6,0.2,0.6,0.5,11.5,0.1,0.3,0,,,,,
Youssef Maleh,Fiorentina,25,M(C),4(3),299,0,0,2,0,1,86,0.4,0,6.13,1,0.3,1.3,0,0.5,0.5,0.1,0,1,0.9,0.1,0.4,0,0.9,0.9,11.5,0.1,0.3,0,,,,,
Youssef Maleh,Fiorentina,25,M(C),4(3),299,0,0,2,0,1,86,0.4,0,6.13,0.4,0.1,1.1,0,0.3,0.6,0,0,0.4,0.4,0.1,0.6,0.2,0.6,0.5,11.5,0.1,0.3,0,,,,,
Youssef Maleh,Fiorentina,25,M(C),4(3),299,0,0,2,0,1,86,0.4,0,6.13,0.4,0.1,1.1,0,0.3,0.6,0,0,1,0.9,0.1,0.4,0,0.9,0.9,11.5,0.1,0.3,0,,,,,
Ronaldo Vieira,Sampdoria,25,DMC,8(8),815,0,0,3,0,0.3,87.8,0.5,0,6.18,1.1,0.8,1.3,0.1,0.6,0.2,0.3,0,0.3,0,0.1,0.6,0,0.4,0.4,27.1,0,1.2,0,,,,,
