player_name,team_name,Unsuccessful,Successful,Total Dribbles
Youssouf M'Changama,Auxerre,0.5,0.4,0.9
Mohamed Bayo,Lille,0.2,0.4,0.6
Eliot Matazo,Monaco,0.5,0.2,0.7
Ayoub Amraoui,Nice,0.3,0.3,0.6
Maghnes Akliouche,Monaco,0.6,0.5,1.2
Steven Fortès,Lens,0,0,0
Andy Delort,Nantes,0.3,0.5,0.8
Jérémie Bela,Clermont Foot,0.9,0.5,1.4
Ismail Jakobs,Monaco,0.2,0.2,0.4
Yanis Cimignani,AC Ajaccio,0.5,0.3,0.8
Fallou Fall,Reims,0,0,0
Kévin Danois,Auxerre,0,0,0
Carlos Baleba,Lille,0.7,0.8,1.5
Sada Thioub,Angers,0.7,0.6,1.3
Andreas Bruus,Troyes,0.8,0.6,1.4
Rares Ilie,Nice,0.3,1.3,1.5
Kevin Spadanuda,AC Ajaccio,1,1,2
Sébastien Corchia,Nantes,0.4,0.1,0.5
Benjamin Leroy,AC Ajaccio,0,0,0
Marcin Bulka,Nice,0,0,0
Siriné Doucouré,Lorient,0.7,0.6,1.3
Ismaël Boura,Lens,0.2,0.4,0.7
Pablo Sarabia,Paris Saint-Germain,0.3,0.1,0.4
Alexis Claude-Maurice,Nice,0,0,0
Ibrahim Amadou,Angers,0.1,0.1,0.3
Oliver Zandén,Toulouse,0.6,0.6,1.2
Souleymane Cissé,Clermont Foot,0.5,0,0.5
Islam Slimani,Brest,0.6,0.3,0.8
Charles Traoré,Nantes,0.2,0,0.2
Mathieu Coutadeur,AC Ajaccio,0.3,0.2,0.5
Riad Nouri,AC Ajaccio,0.8,0.4,1.2
Ruan,AC Ajaccio,0,0.7,0.7
Arial Mendy,Clermont Foot,1,0,1
Taïryk Arconte,Brest,0.5,0.8,1.3
Valère Germain,Montpellier,0,0,0.1
Matthis Abline,Auxerre,0.6,0.6,1.2
Halid Sabanovic,Angers,0.5,0.3,0.8
Lebo Mothiba,Strasbourg,0.3,0.2,0.5
Ado Onaiwu,Toulouse,0.3,0.2,0.4
Lukasz Poreba,Lens,0.1,0.1,0.2
Matthis Abline,Rennes,0,0,0
Jonas Martin,Lille,0.1,0,0.1
Ayman Kari,Lorient,0.6,0.8,1.4
Lois Diony,Angers,0.7,0.3,1
Abdoulaye Bamba,Angers,0.2,0.2,0.4
Gaëtan Charbonnier,Auxerre,0.3,0.3,0.7
Iké Ugbo,Troyes,0.4,0.2,0.7
Serhou Guirassy,Rennes,0,0,0
Lorenz Assignon,Rennes,0.3,0.1,0.4
Mehdi Puch-Herrantz,AC Ajaccio,0,0.3,0.3
Fábio,Nantes,0.5,0.2,0.7
Ismaël Gharbi,Paris Saint-Germain,0.2,0.8,1
Karol Fila,Strasbourg,0,0,0
Tony Strata,AC Ajaccio,0,0,0
Cédric Avinel,AC Ajaccio,0,0,0
Theocharis Tsingaras,Toulouse,0,0,0
Justin-Noel Kalumba,Angers,1.3,1.4,2.7
Gaël Kakuta,Lens,0,0,0
Amar Fatah,Troyes,0,1,1
Joe Bryan,Nice,0.3,0,0.3
Marin Jakolis,Angers,2,0,2
Martin Adeline,Reims,0.4,0.2,0.6
Kyliane Dong,Troyes,1,0.8,1.8
Flavius Daniliuc,Nice,0,0,0
Théo Pellenard,Auxerre,0,0,0
Lohann Doucet,Nantes,0.1,0.1,0.2
Qazim Laçi,AC Ajaccio,0.2,0.2,0.4
Derek Mazou-Sacko,Troyes,0,0,0
Antonin Bobichon,Angers,0,0,0
Axel Camblan,Brest,0.4,0.1,0.6
Ousmane Camara,Angers,0.1,0.2,0.3
Adil Aouchiche,Lorient,0.5,0.2,0.6
Duje Caleta-Car,Marseille,0,0,0
Rémy Dugimont,Auxerre,0.1,0,0.1
Mohamed Achi,Nantes,0.5,0,0.5
Alexis Tibidi,Troyes,0.3,0.7,1
Ben Touré,AC Ajaccio,0.3,0.8,1
Samuel Koeberlé,Reims,1,1,2
Yanis Massolin,Clermont Foot,0.5,0,0.5
Waniss Taïbi,Angers,0.1,0.2,0.3
Chrislain Matsima,Lorient,0,0,0
Stredair Appuah,Nantes,0.2,0.8,1
Ivane Chegra,AC Ajaccio,0.8,0.5,1.3
Noah Holm,Reims,0.8,0.4,1.1
Félix Lemaréchal,Brest,0.5,0.2,0.8
