,Unnamed: 0,player_name,team_name,age,position,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MoM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Dribbles allowed,Blocks,OwnGoal,Key_pass_per_game,Dribble,Foul_given_game,Offside_given_per_game,Dispossessed_per_game,Unsuccessful touches,Average_per_pass,Crosses_per_game,Longpass_per_game,Through_ball_per_game,xG,xGDiff,xGPerNinety,totalShots,xGPerShot
382,186,Andy Delort,Nice,32," AM(R),FW",9(5),781,6,1,0,0,1.9,64.8,2.0,0,6.68,0.1,0.1,0.6,0,0.5,0.1,0,0,0.8,0.3,0.6,0.5,0.6,1.6,15.2,0.1,0.7,0,3.12,-3.12,0.6,18,0.17
383,186,Andy Delort,Nice,32," AM(R),FW",9(5),781,6,1,0,0,1.9,64.8,2.0,0,6.68,0.1,0.1,0.6,0,0.5,0.1,0,0,0.8,0.3,0.6,0.5,0.6,1.6,9.8,0.3,0.3,0,4.77,1.23,0.55,26,0.18
384,186,Andy Delort,Nice,32," AM(R),FW",9(5),781,6,1,0,0,1.9,64.8,2.0,0,6.68,0.1,0.1,0.6,0,0.5,0.1,0,0,0.8,0.3,0.6,0.5,0.6,1.6,9.8,0.3,0.3,0,3.12,-3.12,0.6,18,0.17
385,186,Andy Delort,Nice,32," AM(R),FW",9(5),781,6,1,0,0,1.9,64.8,2.0,0,6.68,0.1,0.1,0.6,0,0.5,0.1,0,0,0.8,0.5,0.3,0.3,0.7,1.2,15.2,0.1,0.7,0,4.77,1.23,0.55,26,0.18
386,186,Andy Delort,Nice,32," AM(R),FW",9(5),781,6,1,0,0,1.9,64.8,2.0,0,6.68,0.1,0.1,0.6,0,0.5,0.1,0,0,0.8,0.5,0.3,0.3,0.7,1.2,15.2,0.1,0.7,0,3.12,-3.12,0.6,18,0.17
387,186,Andy Delort,Nice,32," AM(R),FW",9(5),781,6,1,0,0,1.9,64.8,2.0,0,6.68,0.1,0.1,0.6,0,0.5,0.1,0,0,0.8,0.5,0.3,0.3,0.7,1.2,9.8,0.3,0.3,0,4.77,1.23,0.55,26,0.18
388,186,Andy Delort,Nice,32," AM(R),FW",9(5),781,6,1,0,0,1.9,64.8,2.0,0,6.68,0.1,0.1,0.6,0,0.5,0.1,0,0,0.8,0.5,0.3,0.3,0.7,1.2,9.8,0.3,0.3,0,3.12,-3.12,0.6,18,0.17
389,186,Andy Delort,Nice,32," AM(R),FW",9(5),781,6,1,0,0,1.9,64.8,2.0,0,6.68,0.4,0,0.8,0,0.2,0.3,0,0,0.8,0.3,0.6,0.5,0.6,1.6,15.2,0.1,0.7,0,4.77,1.23,0.55,26,0.18
390,186,Andy Delort,Nice,32," AM(R),FW",9(5),781,6,1,0,0,1.9,64.8,2.0,0,6.68,0.4,0,0.8,0,0.2,0.3,0,0,0.8,0.3,0.6,0.5,0.6,1.6,15.2,0.1,0.7,0,3.12,-3.12,0.6,18,0.17
391,186,Andy Delort,Nice,32," AM(R),FW",9(5),781,6,1,0,0,1.9,64.8,2.0,0,6.68,0.4,0,0.8,0,0.2,0.3,0,0,0.8,0.3,0.6,0.5,0.6,1.6,9.8,0.3,0.3,0,4.77,1.23,0.55,26,0.18
