player_name,team_name,Total_Goals,SixYardBox_Goals,PenaltyArea_Goals,OutOfBox_Goals
Arkadiusz Milik,Marseille,0,0,0,0
Bamba Dieng,Lorient,0.2,0.1,0.1,0
Lesley Ugochukwu,Rennes,0,0,0,0
Théo Le Bris,Lorient,0.1,0,0.1,0
Sanjin Prcic,Strasbourg,0,0,0,0
Gerson,Marseille,0.2,0,0.2,0
Massadio Haïdara,Lens,0,0,0,0
Xeka,Rennes,0,0,0,0
Aiman Maurer,Clermont Foot,0,0,0,0
Youssouf Koné,AC Ajaccio,0,0,0,0
Gaetan Perrin,Auxerre,0.1,0,0.1,0
Kamaldeen Sulemana,Rennes,0.1,0,0.1,0
Reda Belahyane,Nice,0,0,0,0
Damien Da Silva,Lyon,0,0,0,0
Abdu Conté,Troyes,0.1,0,0.1,0
Ibrahima Koné,Lorient,0.2,0,0.2,0
Carlos Soler,Paris Saint-Germain,0.1,0,0.1,0
Yuito Suzuki,Strasbourg,0.3,0,0.3,0
Hugo Magnetti,Brest,0,0,0,0
Mehdi Zeffane,Clermont Foot,0.1,0.1,0,0
Stéphane Diarra,Lorient,0.1,0,0.1,0
Mathias Pereira Lage,Brest,0.1,0,0,0
Jim Allevinah,Clermont Foot,0,0,0,0
Wesley Saïd,Lens,0.2,0,0.2,0
Léo Leroy,Montpellier,0,0,0,0
Achraf Dari,Brest,0.1,0,0.1,0
Kays Ruiz-Atil,Auxerre,0,0,0,0
Yasser Larouci,Troyes,0,0,0,0
Warren Kamanzi,Toulouse,0,0,0,0
Myziane Maolida,Reims,0.1,0,0,0.1
Leny Yoro,Lille,0,0,0,0
Fernand Mayembo,AC Ajaccio,0,0,0,0
Colin Dagba,Strasbourg,0,0,0,0
Bradley Locko,Brest,0,0,0,0
Takumi Minamino,Monaco,0.1,0,0.1,0
Eduard Sobol,Strasbourg,0,0,0,0
Rudy Kohon,Troyes,0,0,0,0
Bevic Moussiti-Oko,AC Ajaccio,0.1,0,0,0.1
Jean-Victor Makengo,Lorient,0,0,0,0
