player_name,team_name,Total_Aerial,Won,Lost
Islam Slimani,Brest,3.1,1.4,1.7
Charles Traoré,Nantes,1,0.7,0.3
Mathieu Coutadeur,AC Ajaccio,0.8,0.3,0.5
Riad Nouri,AC Ajaccio,0.9,0.4,0.5
Ruan,AC Ajaccio,0.3,0,0.3
Arial Mendy,Clermont Foot,1.8,1,0.8
Taïryk Arconte,Brest,1.5,0.8,0.8
Valère Germain,Montpellier,2.4,1,1.4
Matthis Abline,Auxerre,2.2,0.6,1.6
Halid Sabanovic,Angers,0.5,0.3,0.3
Lebo Mothiba,Strasbourg,1.8,0.5,1.3
Ado Onaiwu,Toulouse,2.2,1.1,1.1
Lukasz Poreba,Lens,0.4,0.3,0.1
Matthis Abline,Rennes,0.5,0.1,0.4
Jonas Martin,Lille,0.9,0.7,0.3
Ayman Kari,Lorient,0.4,0.2,0.2
Lois Diony,Angers,3.6,1.7,1.9
Abdoulaye Bamba,Angers,1.5,0.8,0.7
Gaëtan Charbonnier,Auxerre,1.7,0.5,1.2
Iké Ugbo,Troyes,2,0.4,1.6
Serhou Guirassy,Rennes,0,0,0
Lorenz Assignon,Rennes,1,0.7,0.3
Mehdi Puch-Herrantz,AC Ajaccio,0.3,0,0.3
Fábio,Nantes,1.3,0.7,0.7
Ismaël Gharbi,Paris Saint-Germain,0,0,0
Karol Fila,Strasbourg,0,0,0
Tony Strata,AC Ajaccio,0,0,0
Cédric Avinel,AC Ajaccio,2.3,1.6,0.6
Theocharis Tsingaras,Toulouse,0,0,0
Justin-Noel Kalumba,Angers,0.6,0,0.6
Gaël Kakuta,Lens,0.5,0.5,0
Amar Fatah,Troyes,3,0,3
Joe Bryan,Nice,0.8,0,0.8
Marin Jakolis,Angers,1,0,1
Martin Adeline,Reims,2.2,1.2,1
Kyliane Dong,Troyes,0.5,0,0.5
Flavius Daniliuc,Nice,0.5,0.5,0
Théo Pellenard,Auxerre,0.5,0.5,0
Lohann Doucet,Nantes,0.2,0,0.2
Qazim Laçi,AC Ajaccio,1,0.4,0.6
Derek Mazou-Sacko,Troyes,1,1,0
Antonin Bobichon,Angers,0.3,0,0.3
Axel Camblan,Brest,1.4,1,0.4
Ousmane Camara,Angers,1.6,1.1,0.4
Adil Aouchiche,Lorient,0.3,0,0.3
Duje Caleta-Car,Marseille,1,1,0
Rémy Dugimont,Auxerre,1.5,0.7,0.8
Mohamed Achi,Nantes,0,0,0
Alexis Tibidi,Troyes,1,0.7,0.3
Ben Touré,AC Ajaccio,4.3,0.5,3.8
Samuel Koeberlé,Reims,0,0,0
Yanis Massolin,Clermont Foot,0.7,0.3,0.3
Waniss Taïbi,Angers,0.6,0.2,0.5
Chrislain Matsima,Lorient,1.5,0.5,1
